  Fe		  Ga		  Pd
  8.2160000e-001  1.2850000e-001  4.9900000e-002
  8.2860000e-001  1.1640000e-001  5.5000000e-002
  8.4350000e-001  1.0060000e-001  5.5900000e-002
  8.5200000e-001  9.2200000e-002  5.5900000e-002
  8.5560000e-001  7.0200000e-002  7.4200000e-002
  8.4760000e-001  7.9200000e-002  7.3200000e-002
  8.4420000e-001  8.7800000e-002  6.8000000e-002
  8.3860000e-001  9.5400000e-002  6.6000000e-002
  8.2880000e-001  1.0920000e-001  6.2000000e-002
  8.1890000e-001  1.2130000e-001  5.9800000e-002
  8.0330000e-001  1.3800000e-001  5.8700000e-002
  7.9400000e-001  1.5200000e-001  5.4000000e-002
  7.7680000e-001  1.7200000e-001  5.1200000e-002
  7.5790000e-001  1.9450000e-001  4.7600000e-002
  7.0310000e-001  2.5310000e-001  4.3800000e-002
  7.2470000e-001  2.2650000e-001  4.8800000e-002
  7.4310000e-001  2.0220000e-001  5.4600000e-002
  7.5840000e-001  1.8400000e-001  5.7500000e-002
  7.6840000e-001  1.6770000e-001  6.3900000e-002
  7.8570000e-001  1.4810000e-001  6.6200000e-002
  7.9940000e-001  1.2860000e-001  7.2000000e-002
  8.0840000e-001  1.1530000e-001  7.6200000e-002
  8.1240000e-001  1.0810000e-001  7.9500000e-002
  8.2400000e-001  9.4200000e-002  8.1800000e-002
  8.3020000e-001  8.4000000e-002  8.5800000e-002
  8.3790000e-001  7.3900000e-002  8.8200000e-002
  8.4210000e-001  6.6700000e-002  9.1200000e-002
  8.4780000e-001  5.8800000e-002  9.3500000e-002
  8.3190000e-001  5.8700000e-002  1.0940000e-001
  8.2860000e-001  6.2400000e-002  1.0900000e-001
  8.2100000e-001  7.1100000e-002  1.0790000e-001
  8.1460000e-001  7.9000000e-002  1.0640000e-001
  8.1520000e-001  8.4700000e-002  1.0010000e-001
  8.0690000e-001  9.7300000e-002  9.5800000e-002
  7.9620000e-001  1.1100000e-001  9.2800000e-002
  7.8700000e-001  1.2460000e-001  8.8400000e-002
  7.7880000e-001  1.3970000e-001  8.1500000e-002
  7.6360000e-001  1.5920000e-001  7.7100000e-002
  7.5240000e-001  1.7560000e-001  7.2100000e-002
  7.3900000e-001  1.9690000e-001  6.4100000e-002
  7.1660000e-001  2.2240000e-001  6.1000000e-002
  7.0620000e-001  2.4010000e-001  5.3700000e-002
  6.8420000e-001  2.6740000e-001  4.8400000e-002
  6.6900000e-001  2.8620000e-001  4.4900000e-002
  6.2770000e-001  3.2450000e-001  4.7800000e-002
  6.5140000e-001  2.9760000e-001  5.1000000e-002
  6.6860000e-001  2.7580000e-001  5.5600000e-002
  6.8560000e-001  2.5460000e-001  5.9800000e-002
  7.0280000e-001  2.2790000e-001  6.9400000e-002
  7.1660000e-001  2.0730000e-001  7.6100000e-002
  7.3420000e-001  1.8320000e-001  8.2600000e-002
  7.4440000e-001  1.6470000e-001  9.0900000e-002
  7.5840000e-001  1.4560000e-001  9.5900000e-002
  7.6170000e-001  1.3340000e-001  1.0490000e-001
  7.7340000e-001  1.1540000e-001  1.1130000e-001
  7.8450000e-001  1.0060000e-001  1.1490000e-001
  7.8560000e-001  9.3100000e-002  1.2130000e-001
  7.9250000e-001  8.1000000e-002  1.2650000e-001
  8.0040000e-001  6.9800000e-002  1.2980000e-001
  8.0690000e-001  6.1900000e-002  1.3120000e-001
  8.0410000e-001  6.1200000e-002  1.3470000e-001
  8.0200000e-001  5.7500000e-002  1.4050000e-001
  7.8390000e-001  5.2400000e-002  1.6370000e-001
  7.8460000e-001  5.4200000e-002  1.6110000e-001
  7.7810000e-001  6.1300000e-002  1.6070000e-001
  7.7290000e-001  7.0700000e-002  1.5640000e-001
  7.7020000e-001  7.5200000e-002  1.5470000e-001
  7.5940000e-001  8.5600000e-002  1.5500000e-001
  7.6020000e-001  9.2300000e-002  1.4750000e-001
  7.5470000e-001  1.0650000e-001  1.3890000e-001
  7.5140000e-001  1.1850000e-001  1.3000000e-001
  7.3990000e-001  1.3710000e-001  1.2300000e-001
  7.2970000e-001  1.5480000e-001  1.1540000e-001
  7.2270000e-001  1.7260000e-001  1.0470000e-001
  7.1130000e-001  1.9160000e-001  9.7100000e-002
  6.9470000e-001  2.1780000e-001  8.7500000e-002
  6.8170000e-001  2.4010000e-001  7.8200000e-002
  6.6870000e-001  2.6040000e-001  7.0900000e-002
  6.4930000e-001  2.8840000e-001  6.2300000e-002
  6.2990000e-001  3.1280000e-001  5.7300000e-002
  6.1430000e-001  3.3480000e-001  5.0900000e-002
  5.9450000e-001  3.5940000e-001  4.6100000e-002
  5.5430000e-001  3.9830000e-001  4.7400000e-002
  5.7570000e-001  3.7180000e-001  5.2600000e-002
  5.9850000e-001  3.4340000e-001  5.8100000e-002
  6.1270000e-001  3.2160000e-001  6.5700000e-002
  6.3540000e-001  2.9420000e-001  7.0500000e-002
  6.4890000e-001  2.6940000e-001  8.1700000e-002
  6.5850000e-001  2.5310000e-001  8.8400000e-002
  6.7270000e-001  2.2660000e-001  1.0070000e-001
  6.8220000e-001  2.0320000e-001  1.1460000e-001
  6.9250000e-001  1.8260000e-001  1.2490000e-001
  7.0050000e-001  1.6240000e-001  1.3710000e-001
  7.1120000e-001  1.4050000e-001  1.4830000e-001
  7.1830000e-001  1.2570000e-001  1.5600000e-001
  7.2320000e-001  1.1060000e-001  1.6620000e-001
  7.2760000e-001  9.7800000e-002  1.7450000e-001
  7.3210000e-001  8.6000000e-002  1.8200000e-001
  7.3750000e-001  7.5800000e-002  1.8680000e-001
  7.4080000e-001  6.7000000e-002  1.9220000e-001
  7.4060000e-001  6.3000000e-002  1.9650000e-001
  7.4420000e-001  5.7900000e-002  1.9780000e-001
